layer,layer_pos,seed,dir_norm,formality,repetition,ppl
20,20,0,1.0,4.99184142578248,0.042937531218781216,2.880442925557617
20,20,1,1.0,5.084004111492012,0.06695190882134916,2.831868838484094
20,20,2,1.0,5.020255650624625,0.034319776507276495,2.926397987050727
21,21,0,1.000000238418579,4.806149631588891,0.040436415436415435,2.712103861869097
21,21,1,1.000000238418579,4.7963817432567435,0.033628622584943396,2.787080125088619
21,21,2,1.000000238418579,4.902817440849002,0.03523509011313891,2.7481474117206055
22,22,0,1.0000001192092896,4.908867502370791,0.026926516083573493,2.7269934120442993
22,22,1,1.0000001192092896,4.7648471858030685,0.037442745161137714,2.4959423490666577
22,22,2,1.0000001192092896,5.013669018436502,0.031727053140096606,2.7060150044102698
23,23,0,1.0,4.490179776363988,0.04789135595587207,2.535699928402931
23,23,1,1.0,4.627635499988798,0.0479981203007519,2.624036519573822
23,23,2,1.0,4.797045640149968,0.039305649455033065,2.6646562838305408
24,24,0,1.0000001192092896,4.464552345537758,0.04064984221536716,2.3982968684530412
24,24,1,1.0000001192092896,4.751748612401293,0.046283638388901566,2.6911599066726435
24,24,2,1.0000001192092896,4.716373954599761,0.03877519937970755,2.7670614946263266
25,25,0,1.000000238418579,4.482367991317753,0.05318398198145033,2.486531202984523
25,25,1,1.000000238418579,4.61357814621471,0.04065953759873661,2.63567461456175
25,25,2,1.000000238418579,4.771291840888476,0.028057634455939534,2.675336191273691
26,26,0,1.0000001192092896,4.433013874831309,0.03767676767676767,2.5799910807940587
26,26,1,1.0000001192092896,4.733508597758702,0.04142597347026103,2.587960156053911
26,26,2,1.0000001192092896,4.771291840888476,0.028057634455939534,2.6778013139734522
27,27,0,1.0000008344650269,4.575843728639781,0.019362091938707526,2.8723999661266726
27,27,1,1.0000008344650269,4.9091171725100295,0.040543831168831174,2.807737287834393
27,27,2,1.0000008344650269,4.796098218721169,0.017502370791844468,2.695884765183174
